material,T_C,T_K,n_vac_input,n_vac_real,delta_eff,n_atoms,V_mean_A3,V_std_A3,a_mean_A,b_mean_A,c_mean_A,a_std_A,b_std_A,c_std_A,traj_path,xyz_path,log_path
LSCF,26,299.15,0,0,0.0,625,7659.493665722533,81.61531921282698,19.711869516857103,19.711869516857103,19.711869516857103,0.0704671908457026,0.0704671908457026,0.0704671908457026,pretrained_mace_selected_conditions/traj/LSCF__T026C__Ov00.traj,pretrained_mace_selected_conditions/xyz/LSCF__T026C__Ov00.extxyz,pretrained_mace_selected_conditions/traj/LSCF__T026C__Ov00.log
LSCF,100,373.15,0,0,0.0,625,7678.586328195927,86.52840718278064,19.728204280079186,19.728204280079186,19.728204280079186,0.0746342896835542,0.0746342896835542,0.0746342896835542,pretrained_mace_selected_conditions/traj/LSCF__T100C__Ov00.traj,pretrained_mace_selected_conditions/xyz/LSCF__T100C__Ov00.extxyz,pretrained_mace_selected_conditions/traj/LSCF__T100C__Ov00.log
LSCF,200,473.15,0,0,0.0,625,7698.237684726099,92.86522204929122,19.744978238544554,19.744978238544554,19.744978238544554,0.08000856536856389,0.08000856536856389,0.08000856536856389,pretrained_mace_selected_conditions/traj/LSCF__T200C__Ov00.traj,pretrained_mace_selected_conditions/xyz/LSCF__T200C__Ov00.extxyz,pretrained_mace_selected_conditions/traj/LSCF__T200C__Ov00.log
LSCF,300,573.15,0,0,0.0,625,7723.06206969388,101.5653319217357,19.76611777193288,19.76611777193288,19.76611777193288,0.08737854251572295,0.08737854251572295,0.08737854251572295,pretrained_mace_selected_conditions/traj/LSCF__T300C__Ov00.traj,pretrained_mace_selected_conditions/xyz/LSCF__T300C__Ov00.extxyz,pretrained_mace_selected_conditions/traj/LSCF__T300C__Ov00.log
LSCF,400,673.15,0,0,0.0,625,7752.192265567756,110.54283433484369,19.79086979403921,19.79086979403921,19.79086979403921,0.09494039230551016,0.09494039230551016,0.09494039230551016,pretrained_mace_selected_conditions/traj/LSCF__T400C__Ov00.traj,pretrained_mace_selected_conditions/xyz/LSCF__T400C__Ov00.extxyz,pretrained_mace_selected_conditions/traj/LSCF__T400C__Ov00.log
LSCF,500,773.15,0,0,0.0,625,7778.377886322278,120.16879869505445,19.813048483249208,19.813048483249208,19.813048483249208,0.10305608193862541,0.10305608193862541,0.10305608193862541,pretrained_mace_selected_conditions/traj/LSCF__T500C__Ov00.traj,pretrained_mace_selected_conditions/xyz/LSCF__T500C__Ov00.extxyz,pretrained_mace_selected_conditions/traj/LSCF__T500C__Ov00.log
LSCF,600,873.15,1,1,0.008,624,7806.726249581781,129.7271297972748,19.837004235622366,19.837004235622366,19.837004235622366,0.11106062549709493,0.11106062549709493,0.11106062549709493,pretrained_mace_selected_conditions/traj/LSCF__T600C__Ov01.traj,pretrained_mace_selected_conditions/xyz/LSCF__T600C__Ov01.extxyz,pretrained_mace_selected_conditions/traj/LSCF__T600C__Ov01.log
LSCF,700,973.15,2,2,0.016,623,7842.416503500828,142.31726527614347,19.867067455333533,19.867067455333533,19.867067455333533,0.12158138802322908,0.12158138802322908,0.12158138802322908,pretrained_mace_selected_conditions/traj/LSCF__T700C__Ov02.traj,pretrained_mace_selected_conditions/xyz/LSCF__T700C__Ov02.extxyz,pretrained_mace_selected_conditions/traj/LSCF__T700C__Ov02.log
LSCF,800,1073.15,3,3,0.024,622,7867.203344784894,152.5755177799306,19.88786992491172,19.88786992491172,19.88786992491172,0.13014196690033752,0.13014196690033752,0.13014196690033752,pretrained_mace_selected_conditions/traj/LSCF__T800C__Ov03.traj,pretrained_mace_selected_conditions/xyz/LSCF__T800C__Ov03.extxyz,pretrained_mace_selected_conditions/traj/LSCF__T800C__Ov03.log
A5mix,26,299.15,0,0,0.0,625,7497.033709147474,36.45955254228402,19.571705638308245,19.571705638308245,19.571705638308245,0.031804648662578754,0.031804648662578754,0.031804648662578754,pretrained_mace_selected_conditions/traj/A5mix__T026C__Ov00.traj,pretrained_mace_selected_conditions/xyz/A5mix__T026C__Ov00.extxyz,pretrained_mace_selected_conditions/traj/A5mix__T026C__Ov00.log
A5mix,100,373.15,0,0,0.0,625,7507.849195171409,38.75313393731876,19.581106148813614,19.581106148813614,19.581106148813614,0.03378757727022453,0.03378757727022453,0.03378757727022453,pretrained_mace_selected_conditions/traj/A5mix__T100C__Ov00.traj,pretrained_mace_selected_conditions/xyz/A5mix__T100C__Ov00.extxyz,pretrained_mace_selected_conditions/traj/A5mix__T100C__Ov00.log
A5mix,200,473.15,0,0,0.0,625,7537.345214511676,49.22152563950745,19.606680204983512,19.606680204983512,19.606680204983512,0.04283327652800636,0.04283327652800636,0.04283327652800636,pretrained_mace_selected_conditions/traj/A5mix__T200C__Ov00.traj,pretrained_mace_selected_conditions/xyz/A5mix__T200C__Ov00.extxyz,pretrained_mace_selected_conditions/traj/A5mix__T200C__Ov00.log
A5mix,300,573.15,0,0,0.0,625,7568.560192173451,58.8150479756773,19.633669970192983,19.633669970192983,19.633669970192983,0.05109342823263065,0.05109342823263065,0.05109342823263065,pretrained_mace_selected_conditions/traj/A5mix__T300C__Ov00.traj,pretrained_mace_selected_conditions/xyz/A5mix__T300C__Ov00.extxyz,pretrained_mace_selected_conditions/traj/A5mix__T300C__Ov00.log
A5mix,400,673.15,0,0,0.0,625,7586.995810226621,66.36782510055264,19.649562774816268,19.649562774816268,19.649562774816268,0.057583710222916744,0.057583710222916744,0.057583710222916744,pretrained_mace_selected_conditions/traj/A5mix__T400C__Ov00.traj,pretrained_mace_selected_conditions/xyz/A5mix__T400C__Ov00.extxyz,pretrained_mace_selected_conditions/traj/A5mix__T400C__Ov00.log
A5mix,500,773.15,1,1,0.008,624,7617.131836337581,75.37272128006838,19.675497344014055,19.675497344014055,19.675497344014055,0.06528407556584344,0.06528407556584344,0.06528407556584344,pretrained_mace_selected_conditions/traj/A5mix__T500C__Ov01.traj,pretrained_mace_selected_conditions/xyz/A5mix__T500C__Ov01.extxyz,pretrained_mace_selected_conditions/traj/A5mix__T500C__Ov01.log
A5mix,600,873.15,4,4,0.032,621,7653.171093819129,88.82839980729936,19.70639733635448,19.70639733635448,19.70639733635448,0.07674583531553159,0.07674583531553159,0.07674583531553159,pretrained_mace_selected_conditions/traj/A5mix__T600C__Ov04.traj,pretrained_mace_selected_conditions/xyz/A5mix__T600C__Ov04.extxyz,pretrained_mace_selected_conditions/traj/A5mix__T600C__Ov04.log
A5mix,700,973.15,7,7,0.056,618,7694.41969973716,102.85714140369043,19.741639654547555,19.741639654547555,19.741639654547555,0.08866250257603629,0.08866250257603629,0.08866250257603629,pretrained_mace_selected_conditions/traj/A5mix__T700C__Ov07.traj,pretrained_mace_selected_conditions/xyz/A5mix__T700C__Ov07.extxyz,pretrained_mace_selected_conditions/traj/A5mix__T700C__Ov07.log
A5mix,800,1073.15,10,10,0.08,615,7735.926293167644,121.54069668043067,19.776921526379297,19.776921526379297,19.776921526379297,0.1044732526062859,0.1044732526062859,0.1044732526062859,pretrained_mace_selected_conditions/traj/A5mix__T800C__Ov10.traj,pretrained_mace_selected_conditions/xyz/A5mix__T800C__Ov10.extxyz,pretrained_mace_selected_conditions/traj/A5mix__T800C__Ov10.log
