material,T_C,T_K,n_vac_input,n_vac_real,delta_eff,n_atoms,V_mean_A3,V_std_A3,a_mean_A,b_mean_A,c_mean_A,a_std_A,b_std_A,c_std_A,traj_path,xyz_path,log_path
CaNdY,26,299.15,0,0,0.0,625,7007.674465899628,110.42123516949735,19.13578290228947,19.13578290228947,19.13578290228947,0.09928019508820737,0.09928019508820737,0.09928019508820737,mace_T_Ov_matrix/traj/CaNdY__T026C__Ov00.traj,mace_T_Ov_matrix/xyz/CaNdY__T026C__Ov00.extxyz,mace_T_Ov_matrix/traj/CaNdY__T026C__Ov00.log
CaNdY,26,299.15,1,1,0.008,624,7005.308289780113,111.53349725360198,19.133618068926985,19.133618068926985,19.133618068926985,0.10030278513091365,0.10030278513091365,0.10030278513091365,mace_T_Ov_matrix/traj/CaNdY__T026C__Ov01.traj,mace_T_Ov_matrix/xyz/CaNdY__T026C__Ov01.extxyz,mace_T_Ov_matrix/traj/CaNdY__T026C__Ov01.log
CaNdY,26,299.15,2,2,0.016,623,7008.042988190377,111.29020899420851,19.136110062419135,19.136110062419135,19.136110062419135,0.10007590257827628,0.10007590257827628,0.10007590257827628,mace_T_Ov_matrix/traj/CaNdY__T026C__Ov02.traj,mace_T_Ov_matrix/xyz/CaNdY__T026C__Ov02.extxyz,mace_T_Ov_matrix/traj/CaNdY__T026C__Ov02.log
CaNdY,26,299.15,3,3,0.024,622,7011.090243215186,110.16537175136467,19.138894216581853,19.138894216581853,19.138894216581853,0.09904328684363478,0.09904328684363478,0.09904328684363478,mace_T_Ov_matrix/traj/CaNdY__T026C__Ov03.traj,mace_T_Ov_matrix/xyz/CaNdY__T026C__Ov03.extxyz,mace_T_Ov_matrix/traj/CaNdY__T026C__Ov03.log
CaNdY,26,299.15,4,4,0.032,621,7006.949464745566,111.06020112068899,19.135116872346398,19.135116872346398,19.135116872346398,0.09985909709297534,0.09985909709297534,0.09985909709297534,mace_T_Ov_matrix/traj/CaNdY__T026C__Ov04.traj,mace_T_Ov_matrix/xyz/CaNdY__T026C__Ov04.extxyz,mace_T_Ov_matrix/traj/CaNdY__T026C__Ov04.log
CaNdY,26,299.15,7,7,0.056,618,7020.230706081988,105.99521941628137,19.147247306733252,19.147247306733252,19.147247306733252,0.09521105870952405,0.09521105870952405,0.09521105870952405,mace_T_Ov_matrix/traj/CaNdY__T026C__Ov07.traj,mace_T_Ov_matrix/xyz/CaNdY__T026C__Ov07.extxyz,mace_T_Ov_matrix/traj/CaNdY__T026C__Ov07.log
CaNdY,26,299.15,10,10,0.08,615,7022.646298239902,105.82687290811613,19.1494448371208,19.1494448371208,19.1494448371208,0.09505960478322549,0.09505960478322549,0.09505960478322549,mace_T_Ov_matrix/traj/CaNdY__T026C__Ov10.traj,mace_T_Ov_matrix/xyz/CaNdY__T026C__Ov10.extxyz,mace_T_Ov_matrix/traj/CaNdY__T026C__Ov10.log
CaNdY,100,373.15,0,0,0.0,625,7026.69423901992,104.85859291215266,19.153132456087555,19.153132456087555,19.153132456087555,0.09417404991565512,0.09417404991565512,0.09417404991565512,mace_T_Ov_matrix/traj/CaNdY__T100C__Ov00.traj,mace_T_Ov_matrix/xyz/CaNdY__T100C__Ov00.extxyz,mace_T_Ov_matrix/traj/CaNdY__T100C__Ov00.log
CaNdY,100,373.15,1,1,0.008,624,7025.548549602832,106.18692279663574,19.15207929767765,19.15207929767765,19.15207929767765,0.09539356158170739,0.09539356158170739,0.09539356158170739,mace_T_Ov_matrix/traj/CaNdY__T100C__Ov01.traj,mace_T_Ov_matrix/xyz/CaNdY__T100C__Ov01.extxyz,mace_T_Ov_matrix/traj/CaNdY__T100C__Ov01.log
CaNdY,100,373.15,2,2,0.016,623,7028.701604739299,104.56429330792004,19.15495891974578,19.15495891974578,19.15495891974578,0.09390442065582767,0.09390442065582767,0.09390442065582767,mace_T_Ov_matrix/traj/CaNdY__T100C__Ov02.traj,mace_T_Ov_matrix/xyz/CaNdY__T100C__Ov02.extxyz,mace_T_Ov_matrix/traj/CaNdY__T100C__Ov02.log
CaNdY,100,373.15,3,3,0.024,622,7032.652967436781,103.39077954769596,19.158558470660594,19.158558470660594,19.158558470660594,0.09282591445930026,0.09282591445930026,0.09282591445930026,mace_T_Ov_matrix/traj/CaNdY__T100C__Ov03.traj,mace_T_Ov_matrix/xyz/CaNdY__T100C__Ov03.extxyz,mace_T_Ov_matrix/traj/CaNdY__T100C__Ov03.log
