material,T_C,T_K,n_vac_input,n_vac_real,delta_eff,n_atoms,V_mean_A3,V_std_A3,a_mean_A,b_mean_A,c_mean_A,a_std_A,b_std_A,c_std_A,traj_path,xyz_path,log_path
LSCF,26,299.15,0,0,0.0,625,7168.962630412108,67.34226097073801,19.28181434010804,19.28181434010804,19.28181434010804,0.059955079435459045,0.059955079435459045,0.059955079435459045,mace_T_Ov_matrix/traj/LSCF__T026C__Ov00.traj,mace_T_Ov_matrix/xyz/LSCF__T026C__Ov00.extxyz,mace_T_Ov_matrix/traj/LSCF__T026C__Ov00.log
LSCF,26,299.15,1,1,0.008,624,7173.585858950078,65.99711877097566,19.28596594578919,19.28596594578919,19.28596594578919,0.058740582925294126,0.058740582925294126,0.058740582925294126,mace_T_Ov_matrix/traj/LSCF__T026C__Ov01.traj,mace_T_Ov_matrix/xyz/LSCF__T026C__Ov01.extxyz,mace_T_Ov_matrix/traj/LSCF__T026C__Ov01.log
LSCF,26,299.15,2,2,0.016,623,7169.201611633524,67.5230358435282,19.282027597147255,19.282027597147255,19.282027597147255,0.06011566035540131,0.06011566035540131,0.06011566035540131,mace_T_Ov_matrix/traj/LSCF__T026C__Ov02.traj,mace_T_Ov_matrix/xyz/LSCF__T026C__Ov02.extxyz,mace_T_Ov_matrix/traj/LSCF__T026C__Ov02.log
LSCF,26,299.15,3,3,0.024,622,7175.480831289601,64.59450585076479,19.287671660750398,19.287671660750398,19.287671660750398,0.05747394442155126,0.05747394442155126,0.05747394442155126,mace_T_Ov_matrix/traj/LSCF__T026C__Ov03.traj,mace_T_Ov_matrix/xyz/LSCF__T026C__Ov03.extxyz,mace_T_Ov_matrix/traj/LSCF__T026C__Ov03.log
LSCF,26,299.15,4,4,0.032,621,7180.497054717653,63.15005305714552,19.29217291346813,19.29217291346813,19.29217291346813,0.05617368351613341,0.05617368351613341,0.05617368351613341,mace_T_Ov_matrix/traj/LSCF__T026C__Ov04.traj,mace_T_Ov_matrix/xyz/LSCF__T026C__Ov04.extxyz,mace_T_Ov_matrix/traj/LSCF__T026C__Ov04.log
LSCF,26,299.15,7,7,0.056,618,7177.5623693554935,64.07201874430613,19.289539374442114,19.289539374442114,19.289539374442114,0.05700332209943357,0.05700332209943357,0.05700332209943357,mace_T_Ov_matrix/traj/LSCF__T026C__Ov07.traj,mace_T_Ov_matrix/xyz/LSCF__T026C__Ov07.extxyz,mace_T_Ov_matrix/traj/LSCF__T026C__Ov07.log
LSCF,26,299.15,10,10,0.08,615,7185.040710721348,61.34178824584485,19.296250699559753,19.296250699559753,19.296250699559753,0.05454727428898392,0.05454727428898392,0.05454727428898392,mace_T_Ov_matrix/traj/LSCF__T026C__Ov10.traj,mace_T_Ov_matrix/xyz/LSCF__T026C__Ov10.extxyz,mace_T_Ov_matrix/traj/LSCF__T026C__Ov10.log
LSCF,100,373.15,0,0,0.0,625,7194.781420152713,59.4536646543744,19.30497633440717,19.30497633440717,19.30497633440717,0.052847406805271266,0.052847406805271266,0.052847406805271266,mace_T_Ov_matrix/traj/LSCF__T100C__Ov00.traj,mace_T_Ov_matrix/xyz/LSCF__T100C__Ov00.extxyz,mace_T_Ov_matrix/traj/LSCF__T100C__Ov00.log
LSCF,100,373.15,1,1,0.008,624,7193.169017619739,59.818254069896255,19.303532271923945,19.303532271923945,19.303532271923945,0.05317451472937987,0.05317451472937987,0.05317451472937987,mace_T_Ov_matrix/traj/LSCF__T100C__Ov01.traj,mace_T_Ov_matrix/xyz/LSCF__T100C__Ov01.extxyz,mace_T_Ov_matrix/traj/LSCF__T100C__Ov01.log
LSCF,100,373.15,2,2,0.016,623,7190.560746319116,61.13941700277926,19.301192131545537,19.301192131545537,19.301192131545537,0.054364979841675654,0.054364979841675654,0.054364979841675654,mace_T_Ov_matrix/traj/LSCF__T100C__Ov02.traj,mace_T_Ov_matrix/xyz/LSCF__T100C__Ov02.extxyz,mace_T_Ov_matrix/traj/LSCF__T100C__Ov02.log
